Mineral Water	Calcium	Magnesium	Potassium	Bicabonates	Sulfates	Fluorures	Sodium	Nitrates	Price	Minerality	Compliance	Region
Arcens	14.5	24	10.7	1213	11	1.3	439	0.14	0.34	medium	no	Rhone-Alpes
Arvie	170	92	130	2195	31	0.9	650	0	0.44	high	no	Auvergne
Badoit	190	85	10	1300	40	1	150	5.8	0.64	medium	no	Rhone-Alpes
Beckerich	83.4	32	7.6	353	124	0.6	34	1	0.17	low	yes	Other
Chateauneuf	152	36	40	1799	195	3	651	0.05	0.58	medium	no	Auvergne
Eau	de	Perrier	149	7	1.4	420	42	0.05	11.5	5.2	0.72	low	yes	Languedoc-Roussillon
Faustine	170	50	26	1200	8	2	230	0.05	0.2	medium	no	Rhone-Alpes
La	Salvetat	253	11	3	820	25	0.25	7	0.05	0.38	medium	yes	Other
Perrier	149	7	1.4	420	42	0.05	11.5	5.6	0.94	low	yes	Languedoc-Roussillon
Puits	St-Georges	46	34	18.5	1373	10	0.5	434	8	0.35	medium	no	Rhone-Alpes
Pyrenees	48	12	1	183	18	0.05	31	5	0.3	low	yes	Other
Quezac	241	95	49.7	1685	143	2.1	255	0.05	0.52	high	no	Languedoc-Roussillon
San	Pellegrino	185	53	2.5	237.9	444	0.6	35	2	0.65	medium	no	Other
St-Diery	85	80	65	1350	25	0.3	385	1.9	0.32	high	no	Auvergne
St-Jean	76	25	36	908	52	1.1	228	1.4	0.4	medium	no	Rhone-Alpes
St-Pierre	35	20	36	1180	35	1.7	383	0.05	0.32	medium	no	Rhone-Alpes
St-Yorre	90	11	132	4368	174	9	1708	2.5	0.53	high	no	Auvergne
Vernet	29	17	22	470	7	1.3	120	0.05	0.36	low	no	Other
Verniere	190	72	49	1170	158	0.05	154	1.2	0.39	medium	no	Languedoc-Roussillon
Vichy-Celestins	103	10	66	2989	138	5	1172	1.5	0.59	high	no	Auvergne
Wattwiller	135	15.4	1.9	172	247	1.6	3	0	0.77	medium	no	Other
